,nr,participant,run,direction,surface,count,dur
0,73,TWOU,noucrain,F,gaze_tmopt,0,
0,73,TWOU,noucrain,F,none,0,
0,74,TWOU,noucrain,F,total,909,9040.0
0,74,TWOU,noucrain,F,gaze_fw,624,9040.0
0,74,TWOU,noucrain,F,gaze_ic,0,9040.0
0,74,TWOU,noucrain,F,gaze_lm,0,9040.0
0,74,TWOU,noucrain,F,gaze_lmopt,0,9040.0
0,74,TWOU,noucrain,F,gaze_tm,46,9040.0
0,74,TWOU,noucrain,F,gaze_tmopt,216,9040.0
0,74,TWOU,noucrain,F,none,215,9040.0
0,75,TWOU,noucrain,F,total,862,9040.0
0,75,TWOU,noucrain,F,gaze_fw,672,9040.0
0,75,TWOU,noucrain,F,gaze_ic,0,9040.0
0,75,TWOU,noucrain,F,gaze_lm,0,9040.0
0,75,TWOU,noucrain,F,gaze_lmopt,0,9040.0
0,75,TWOU,noucrain,F,gaze_tm,0,9040.0
0,75,TWOU,noucrain,F,gaze_tmopt,249,9040.0
0,75,TWOU,noucrain,F,none,170,9040.0
0,76,TWOU,noucrain,F,total,921,9040.0
0,76,TWOU,noucrain,F,gaze_fw,736,9040.0
0,76,TWOU,noucrain,F,gaze_ic,0,9040.0
0,76,TWOU,noucrain,F,gaze_lm,0,9040.0
0,76,TWOU,noucrain,F,gaze_lmopt,0,9040.0
0,76,TWOU,noucrain,F,gaze_tm,0,9040.0
0,76,TWOU,noucrain,F,gaze_tmopt,133,9040.0
0,76,TWOU,noucrain,F,none,183,9040.0
0,77,TWOU,noucrain,B,total,0,
0,77,TWOU,noucrain,B,gaze_fw,0,
0,77,TWOU,noucrain,B,gaze_ic,0,
0,77,TWOU,noucrain,B,gaze_lm,0,
0,77,TWOU,noucrain,B,gaze_lmopt,0,
0,77,TWOU,noucrain,B,gaze_tm,0,
0,77,TWOU,noucrain,B,gaze_tmopt,0,
0,77,TWOU,noucrain,B,none,0,
0,78,TWOU,noucrain,B,total,924,9729.979999999996
0,78,TWOU,noucrain,B,gaze_fw,597,9729.979999999996
0,78,TWOU,noucrain,B,gaze_ic,0,9729.979999999996
0,78,TWOU,noucrain,B,gaze_lm,0,9729.979999999996
0,78,TWOU,noucrain,B,gaze_lmopt,0,9729.979999999996
0,78,TWOU,noucrain,B,gaze_tm,0,9729.979999999996
0,78,TWOU,noucrain,B,gaze_tmopt,91,9729.979999999996
0,78,TWOU,noucrain,B,none,286,9729.979999999996
0,79,TWOU,noucrain,B,total,982,9770.0
